ID,SUBJECT,MESSAGE
35,Unavailable by ICMP ping: PROBLEM for Sonde Temperature Lons,"[PROBLEM: High]
Host: Sonde Temperature Lons (172.16.64.16)
Name: Unavailable by ICMP ping
Event: 40780145, Trigger: 32351
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:19:29 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: Sonde Temperature Lons
Severity: High
Operational data: Down (0)
Original problem ID: 40780145
"
36,VPN Tunnel Down [VPN1]: PROBLEM for FW-PA,"[PROBLEM: High]
Host: FW-PA (172.20.30.1)
Name: VPN Tunnel Down [VPN1]
Event: 40779859, Trigger: 160487
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:18:24 on 2024.02.19
Problem name: VPN Tunnel Down [VPN1]
Host: FW-PA
Severity: High
Operational data: 1
Original problem ID: 40779859
"
37,VPN Tunnel Down [VPN2]: PROBLEM for FW-PA,"[PROBLEM: High]
Host: FW-PA (172.20.30.1)
Name: VPN Tunnel Down [VPN2]
Event: 40779860, Trigger: 160488
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:18:24 on 2024.02.19
Problem name: VPN Tunnel Down [VPN2]
Host: FW-PA
Severity: High
Operational data: 1
Original problem ID: 40779860
"
38,Unavailable by ICMP ping: PROBLEM for 172.20.40.4,"[PROBLEM: Disaster]
Host: 172.20.40.4 (172.20.40.4)
Name: Unavailable by ICMP ping
Event: 40779867, Trigger: 164889
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:18:42 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: SW-NA-01
Severity: Disaster
Operational data: Down (0)
Original problem ID: 40779867
"
39,Unavailable by ICMP ping: PROBLEM for 172.20.20.2,"[PROBLEM: Disaster]
Host: 172.20.20.2 (172.20.20.2)
Name: Unavailable by ICMP ping
Event: 40774952, Trigger: 156852
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:09:15 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: SW-WL-01
Severity: Disaster
Operational data: Down (0)
Original problem ID: 40774952
"
40,Unavailable by ICMP ping: OK for Sonde Temperature Nantes,"[OK: High]
Host: Sonde Temperature Nantes (172.16.44.16)
Name: Unavailable by ICMP ping
Event: 40775327, Trigger: 32343
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:09:28 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: Sonde Temperature Nantes
Severity: High
Operational data: Up (1)
Original problem ID: 40775327
"
41,Unavailable by ICMP ping: OK for Sonde Temperature Lons,"[OK: High]
Host: Sonde Temperature Lons (172.16.64.16)
Name: Unavailable by ICMP ping
Event: 40775146, Trigger: 32351
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:07:29 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: Sonde Temperature Lons
Severity: High
Operational data: Up (1)
Original problem ID: 40775146
"
42,Unavailable by ICMP ping: PROBLEM for FW-LO,"[PROBLEM: High]
Host: FW-LO (172.20.50.1)
Name: Unavailable by ICMP ping
Event: 40775149, Trigger: 160402
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:07:19 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: FW-LO
Severity: High
Operational data: Down (0)
Original problem ID: 40775149
"
43,Unavailable by ICMP ping: PROBLEM for FW-PA,"[PROBLEM: High]
Host: FW-PA (172.20.30.1)
Name: Unavailable by ICMP ping
Event: 40775339, Trigger: 160444
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:10:16 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: FW-PA
Severity: High
Operational data: Down (0)
Original problem ID: 40775339
"
44,Unavailable by ICMP ping: PROBLEM for IDRAC-SRP-PA-E01-001,"[PROBLEM: High]
Host: IDRAC-SRP-PA-E01-001 (172.20.31.11)
Name: Unavailable by ICMP ping
Event: 40775343, Trigger: 172238
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:10:18 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: IDRAC-SRP-PA-E01-001
Severity: High
Operational data: Down (0)
Original problem ID: 40775343
"
45,Unavailable by ICMP ping: PROBLEM for IDRAC-SRP-PA-E01-002,"[PROBLEM: High]
Host: IDRAC-SRP-PA-E01-002 (172.20.31.12)
Name: Unavailable by ICMP ping
Event: 40775370, Trigger: 172353
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:10:19 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: IDRAC-SRP-PA-E01-002
Severity: High
Operational data: Down (0)
Original problem ID: 40775370
"
46,VPN Tunnel Down [ADM 74 -10.122.16.0/20]: PROBLEM for FW-DC,"[PROBLEM: High]
Host: FW-DC (192.168.200.1)
Name: VPN Tunnel Down [ADM 74 -10.122.16.0/20]
Event: 40776549, Trigger: 170742
Description: IPsec VPN Tunnel Phase 2 is down, please check!
Problem started at 01:11:21 on 2024.02.19
Problem name: VPN Tunnel Down [ADM 74 -10.122.16.0/20]
Host: FW-DC
Severity: High
Operational data: 1
Original problem ID: 40776549
"
47,Unavailable by ICMP ping: PROBLEM for 10.116.149.70,"[PROBLEM: High]
Host: 10.116.149.70 (10.116.149.70)
Name: Unavailable by ICMP ping
Event: 40779939, Trigger: 154898
Description: Last three attempts returned timeout.  Please check device connectivity.
Problem started at 01:19:05 on 2024.02.19
Problem name: Unavailable by ICMP ping
Host: VISIO_CLICKSHARE_NANTES_GRASLIN
Severity: High
Operational data: Down (0)
Original problem ID: 40779939
"
48,Health Check State Failed to DC on member 3: PROBLEM for FW-PA,"[PROBLEM: High]
Host: FW-PA (172.20.30.1)
Name: Health Check State Failed to DC on member 3
Event: 40779659, Trigger: 160485
Description: 
Problem started at 01:16:52 on 2024.02.19
Problem name: Health Check State Failed to DC on member 3
Host: FW-PA
Severity: High
Operational data: Status: Alarm (1)
Original problem ID: 40779659
"
49,Health Check State Failed to DC on member 4: PROBLEM for FW-PA,"[PROBLEM: High]
Host: FW-PA (172.20.30.1)
Name: Health Check State Failed to DC on member 4
Event: 40779660, Trigger: 160486
Description: 
Problem started at 01:16:52 on 2024.02.19
Problem name: Health Check State Failed to DC on member 4
Host: FW-PA
Severity: High
Operational data: Status: Alarm (1)
Original problem ID: 40779660
"
